time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
2200,2023-05-24 09:08:05,37.1814896484899,128.192822331283,0,,,1283.8896713338,0.328084,0.223694,0.134059059408,0.55580382356,15,5,17.029,1283.8896713338,0,0.223694,0.134059059408,0,0.223694,-0.671082,94.8, -4.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
2300,2023-05-24 09:08:05,37.1814895964452,128.19282258871,0,,,1283.8896713338,0.328084,0.223694,0.186009192304,0.6330052696,16,5,17.029,1283.8896713338,0,0.223694,0.186009192304,0,0.447388,-0.894776,94.7, -0.2, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
2400,2023-05-24 09:08:05,37.181489519384,128.192822786647,0.328084,,,1284.2177553338,0.328084,0.447388,0.232445545496,0.69704398556,16,5,17.029,1284.2177553338,0.328084,0.447388,0.232445545496,0,0.447388,-0.894776,94.7, 2, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1284.2177553338,0.328084,11,AutoTakeoff,
2500,2023-05-24 09:08:05,37.1814895191948,128.192823013727,0.328084,,,1284.2177553338,0.328084,0.223694,0.297367791668,0.76305448636,16,5,17.029,1284.2177553338,0.328084,0.447388,0.297367791668,0,0.223694,-0.894776,94.8, 2.7, 0,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1284.2177553338,0.328084,11,AutoTakeoff,
2600,2023-05-24 09:08:05,37.1814896296005,128.192823205394,0.656168,,,1284.5458393338,0.328084,0.223694,0.36009843672,0.83180448856,16,5,17.029,1284.5458393338,0.656168,0.447388,0.36009843672,0,0.223694,-0.894776,94.7, 2.3, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1284.5458393338,0.656168,11,AutoTakeoff,
2700,2023-05-24 09:08:05,37.1814896727561,128.192823328174,0.656168,,,1284.5458393338,0.984252,0,0.39859909412,0.87081367616,16,5,17.029,1284.5458393338,0.656168,0.447388,0.39859909412,0,0,-0.894776,94.7, 1.7, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1284.5458393338,0.656168,11,AutoTakeoff,
2800,2023-05-24 09:08:05,37.1814896732843,128.192823168356,0.656168,,,1284.5458393338,0.984252,0,0.35398951264,0.91727037056,16,5,17.029,1284.5458393338,0.656168,0.447388,0.39859909412,0,0,-0.894776,94.7, 1, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1284.5458393338,0.656168,11,AutoTakeoff,
2900,2023-05-24 09:08:05,37.1814897169206,128.192823201681,0.984252,,,1284.8739233338,1.312336,0,0.36811352884,0.9359088226,15,5,17.029,1284.8739233338,0.984252,0.447388,0.39859909412,0,0,-0.894776,94.7, 0.6, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1284.8739233338,0.984252,11,AutoTakeoff,
3000,2023-05-24 09:08:05,37.1814895826525,128.192823241276,0.984252,,,1284.8739233338,1.312336,0,0.36655841068,0.98623034652,15,5,16.915,1284.8739233338,0.984252,0.447388,0.39859909412,0,0,-0.894776,94.7, 0.3, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1284.8739233338,0.984252,11,AutoTakeoff,"홈포인트 기록됨. RTH 고도: 50.0 m"
3100,2023-05-24 09:08:06,37.1814896100575,128.192823247139,1.312336,,,1285.2020073338,1.312336,0,0.37026904072,0.99637142296,15,5,16.915,1285.2020073338,1.312336,0.447388,0.39859909412,0,0,-0.894776,94.7, 0.2, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1285.2020073338,1.312336,11,AutoTakeoff,"Mavic 2 Enterprise Advanced Camera NO SD Card__Solution: Insert SD Card"
